candidate_id,rank,score,reasoning
CAND_0002025,1,0.81743,"Senior AI Engineer with 5.9 yrs exp (Trivandrum, Kerala); top skills: FAISS, TensorFlow, scikit-learn. Strong core ai/ml skill match; recently active; short notice (30d)."
CAND_0064326,2,0.81324,"Search Engineer with 7.6 yrs exp (Gurgaon, Haryana); top skills: PyTorch, Deep Learning, Weaviate. Strong core ai/ml skill match."
CAND_0050454,3,0.81314,"AI Engineer with 6.8 yrs exp (Delhi, Delhi); top skills: PyTorch, LangChain, QLoRA. Strong core ai/ml skill match; short notice (30d)."
CAND_0077337,4,0.8126,"Staff Machine Learning Engineer with 7.0 yrs exp (Kochi, Kerala); top skills: QLoRA, pgvector, BM25. Strong core ai/ml skill match; recently active."
CAND_0046525,5,0.812264,"Senior Machine Learning Engineer with 6.1 yrs exp (Pune, Maharashtra); top skills: Machine Learning, LlamaIndex, Sentence Transformers. Strong core ai/ml skill match."
CAND_0018499,6,0.81138,"Senior Machine Learning Engineer with 7.2 yrs exp (Noida, Uttar Pradesh); top skills: Deep Learning, Weaviate, Recommendation Systems. Strong core ai/ml skill match; short notice (15d)."
CAND_0052328,7,0.81086,"Recommendation Systems Engineer with 6.5 yrs exp (Pune, Maharashtra); top skills: OpenSearch, QLoRA, Learning to Rank. Strong core ai/ml skill match; short notice (30d)."
CAND_0065195,8,0.81033,"Search Engineer with 5.1 yrs exp (Kolkata, West Bengal); top skills: LLMs, QLoRA, scikit-learn. Strong core ai/ml skill match."
CAND_0050876,9,0.808848,"Applied ML Engineer with 6.0 yrs exp (Kolkata, West Bengal); top skills: scikit-learn, OpenSearch, QLoRA. Strong core ai/ml skill match; recently active."
CAND_0054100,10,0.808599,"Junior ML Engineer with 6.0 yrs exp (Kolkata, West Bengal); top skills: Vector Search, Reinforcement Learning, Time Series. Strong core ai/ml skill match."
CAND_0036184,11,0.80852,"Recommendation Systems Engineer with 6.0 yrs exp (Trivandrum, Kerala); top skills: QLoRA, FAISS, Hugging Face Transformers. Strong core ai/ml skill match; recently active; short notice (30d)."
CAND_0006418,12,0.807995,"Machine Learning Engineer with 5.7 yrs exp (Gurgaon, Haryana); top skills: Semantic Search, Embeddings, Weaviate. Strong core ai/ml skill match."
CAND_0037980,13,0.80782,"Senior Applied Scientist with 9.0 yrs exp (Kolkata, West Bengal); top skills: LoRA, Search Infrastructure, PyTorch. Strong core ai/ml skill match; short notice (0d)."
CAND_0066690,14,0.80752,"ML Engineer with 4.8 yrs exp (Gurgaon, Haryana); top skills: Hugging Face Transformers, Object Detection, Speech Recognition. Strong core ai/ml skill match; recently active; short notice (30d)."
CAND_0086022,15,0.80696,"Senior Applied Scientist with 5.3 yrs exp (Kolkata, West Bengal); top skills: pgvector, Fine-tuning LLMs, Pinecone. Strong core ai/ml skill match; short notice (0d)."
CAND_0000031,16,0.80616,"Recommendation Systems Engineer with 6.0 yrs exp (Hyderabad, Telangana); top skills: Pinecone, Embeddings, Information Retrieval. Strong core ai/ml skill match."
CAND_0011687,17,0.80543,"Senior NLP Engineer with 7.8 yrs exp (Indore, Madhya Pradesh); top skills: TensorFlow, OpenSearch, PEFT. Strong core ai/ml skill match; short notice (15d)."
CAND_0017960,18,0.80494,"Recommendation Systems Engineer with 7.7 yrs exp (Bangalore, Karnataka); top skills: QLoRA, Hugging Face Transformers, Haystack. Strong core ai/ml skill match."
CAND_0037160,19,0.8044,"Data Scientist with 6.0 yrs exp (Mumbai, Maharashtra); top skills: TTS, LLMs, Weaviate. Strong core ai/ml skill match; short notice (30d)."
CAND_0033445,20,0.804383,"ML Engineer with 6.8 yrs exp (Ahmedabad, Gujarat); top skills: Image Classification, Information Retrieval, Semantic Search. Strong core ai/ml skill match; recently active; short notice (30d)."
CAND_0024990,21,0.804231,"Junior ML Engineer with 5.2 yrs exp (Trivandrum, Kerala); top skills: Computer Vision, MLflow, Elasticsearch. Strong core ai/ml skill match."
CAND_0081846,22,0.80397,"Lead AI Engineer with 6.7 yrs exp (Jaipur, Rajasthan); top skills: Information Retrieval, Learning to Rank, Elasticsearch. Strong core ai/ml skill match; short notice (30d)."
CAND_0014440,23,0.80345,"Recommendation Systems Engineer with 6.4 yrs exp (Chennai, Tamil Nadu); top skills: Milvus, FAISS, Qdrant. Strong core ai/ml skill match."
CAND_0066999,24,0.80274,"Recommendation Systems Engineer with 5.9 yrs exp (Delhi, Delhi); top skills: OpenSearch, FAISS, LLMs. Strong core ai/ml skill match; short notice (15d)."
CAND_0037566,25,0.802534,"Machine Learning Engineer with 6.9 yrs exp (Bangalore, Karnataka); top skills: Pinecone, LlamaIndex, QLoRA. Strong core ai/ml skill match; short notice (15d)."
CAND_0027691,26,0.80135,"NLP Engineer with 6.5 yrs exp (Pune, Maharashtra); top skills: LoRA, Recommendation Systems, Weaviate. Strong core ai/ml skill match; short notice (15d)."
CAND_0096142,27,0.80129,"Applied ML Engineer with 5.0 yrs exp (Hyderabad, Telangana); top skills: Pinecone, Python, NLP. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0083852,28,0.801025,"Data Scientist with 6.0 yrs exp (Ahmedabad, Gujarat); top skills: Kubeflow, Pinecone, Sentence Transformers. Strong core ai/ml skill match; recently active."
CAND_0029367,29,0.80072,"Senior Data Scientist with 5.7 yrs exp (Bangalore, Karnataka); top skills: TensorFlow, FAISS, Sentence Transformers. Strong core ai/ml skill match."
CAND_0046064,30,0.80043,"Senior NLP Engineer with 8.9 yrs exp (Coimbatore, Tamil Nadu); top skills: Python, Pinecone, Haystack. Strong core ai/ml skill match; short notice (30d)."
CAND_0005538,31,0.8003,"Senior AI Engineer with 5.9 yrs exp (Kolkata, West Bengal); top skills: Vector Representations, Deep Learning, PyTorch. Strong core ai/ml skill match."
CAND_0041669,32,0.80019,"Recommendation Systems Engineer with 8.0 yrs exp (Noida, Uttar Pradesh); top skills: Milvus, PEFT, Semantic Search. Strong core ai/ml skill match."
CAND_0004402,33,0.7997,"AI Research Engineer with 6.0 yrs exp (Delhi, Delhi); top skills: TTS, Speech Recognition, PEFT. Strong core ai/ml skill match."
CAND_0062247,34,0.79937,"AI Engineer with 7.3 yrs exp (Kochi, Kerala); top skills: Pinecone, Vector Search, Qdrant. Strong core ai/ml skill match; short notice (30d)."
CAND_0093912,35,0.79865,"Senior Data Scientist with 5.3 yrs exp (Chandigarh, Chandigarh); top skills: Milvus, Embeddings, Vector Search. Strong core ai/ml skill match; short notice (30d)."
CAND_0052682,36,0.79824,"NLP Engineer with 6.6 yrs exp (Vizag, Andhra Pradesh); top skills: QLoRA, Semantic Search, FAISS. Strong core ai/ml skill match; short notice (30d)."
